#Generated on 2020/03/22-18:41:59
#serialNumber,componentType,type,institution,currentLocation,assembled,ID
20USBSL0000057,SENSOR,ATLAS17LS,CA,CA,False,VPX29549-W057
20USBSS9000070,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-48
20USBSS9000069,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-47
20USBSS9000068,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-46
20USBSS9000067,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-45
20USBSS9000066,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-44
20USBSS9000065,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-43
20USBSS9000064,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-42
20USBSS9000063,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-41
20USBSS9000062,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-40
20USBSS9000061,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-39
20USBSS9000060,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-38
20USBSS9000059,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-37
20USBSS9000058,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-36
20USBSS9000057,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-35
20USBSS9000056,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-34
20USBSS9000055,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-33
20USBSS9000054,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-32
20USBSS9000053,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-31
20USBSS9000052,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-30
20USBSS9000051,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-29
20USBSS9000050,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-28
20USBSS9000049,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-27
20USBSS9000048,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-26
20USBSS9000047,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-25
20USBSS9000046,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-24
20USBSS9000045,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-23
20USBSS9000044,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-22
20USBSS9000043,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-21
20USBSS9000042,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-20
20USBSS9000041,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-19
20USBSS9000040,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-18
20USBSS9000039,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-17
20USBSS9000038,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-16
20USBSS9000037,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-15
20USBSS9000036,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-14
20USBSS9000035,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-13
20USBSS9000034,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-12
20USBSS9000033,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-11
20USBSS9000032,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-10
20USBSS9000031,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-9
20USBSS9000030,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-8
20USBSS9000029,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-7
20USBSS9000028,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-6
20USBSS9000027,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-5
20USBSS9000026,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-4
20USBSS9000025,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32427-1
20USBSS9000024,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-33
20USBSS9000023,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-32
20USBSS9000022,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-31
20USBSS9000021,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-29
20USBSS9000020,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-28
20USBSS9000019,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-27
20USBSS9000018,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-26
20USBSS9000017,SENSOR,ATLAS18SS_MECHANICAL,CERN,CA,False,WXX32426-25
